mz_rt	BD01	BD02	BD03	BD04	BD05	BD06	BD07	BD08	BD09	BD10	BD11	BD12	BD13	BD14	BD15	BD16	BD17	BD18	BD19	BD20	BD21	BD22	BD23	BD24	BD25	BD26	BD27	BD28	BD29	BD30	CT01	CT02	CT03	CT04	CT05	CT06	CT07	CT08	CT09	CT10	CT11	CT12	CT13	CT14	CT15	CT16	CT17	CT18	CT19	CT20	CT21	CT22	CT23	CT24	CT25	CT26	CT27	CT28	CT29	CT30	SZ01	SZ02	SZ03	SZ04	SZ05	SZ06	SZ07	SZ08	SZ09	SZ10	SZ11	SZ12	SZ13	SZ14	SZ15	SZ16	SZ17	SZ18	SZ19	SZ20	SZ21	SZ22	SZ23	SZ24	SZ25	SZ26	SZ27	SZ28	SZ29	SZ30	QC_1_2	QC_2	QC_2_2	QC_2_3	QC_2_4	QC_3	QC_4	QC_4_2	QC_4_3	QC_5	QC_5_2	QC_5_3	QC_5_4
100.072822683704_851.29554	312846.77482	253780.52788	324983.27221	280339.55050	291515.52010	206467.53385	213415.04665	232119.57323	252905.69558	244305.00369	269716.87189	294685.43654	231195.12699	178920.88576	306306.47599	238734.87374	320922.25826	280369.05308	202216.35152	248535.38629	218646.37389	315202.50706	303575.77871	309036.87183	189195.84102	209736.82650	271669.12786	292469.34911	407521.18874	303052.16095	324278.45099	262708.10490	251581.96953	292495.22469	280770.53040	318840.43824	313943.74422	259834.83479	286419.80211	187571.06443	224170.00499	244642.47157	314452.60906	291075.72872	322766.70048	268043.48595	330802.99870	245148.19284	246532.14002	308145.89049	277004.94062	264502.83700	232021.94556	329656.34381	258900.32695	317690.10288	227172.51728	278801.18967	294402.65647	282203.68922	319464.55981	264503.43830	267406.85185	258957.72153	236483.82261	273661.13090	219745.98998	294307.73096	319312.50755	246560.56938	192921.74590	262154.04458	226715.73139	250953.53716	185897.29845	296926.09370	234471.05270	187030.02362	218537.18220	174417.12870	349263.92837	189055.44569	254340.36080	264982.48338	299970.59407	186122.67843	246709.48444	211862.98086	186807.72262	263146.74062	249547.44164	319497.93726	264758.66497	265463.53169	313778.53727	230263.75783	187882.21929	212573.39334	243175.49500	211607.76552	263300.24171	244662.75835	260234.42914
100.932463481368_1185.06405	446527.81977	651181.55536	753211.81442	675294.24720	1121702.53283	765289.86712	462259.36041	490311.94758	507334.17435	502493.43812	556647.49270	513093.71019	623077.26592	620595.57817	433212.99529	914273.32665	746101.86088	557180.87268	674515.22254	480406.05844	487827.89138	482005.49021	588585.68336	531004.50458	777786.62449	661975.70728	525706.84572	496873.37554	572404.05090	621449.48397	510145.94069	1148061.31502	833233.25124	910422.06307	550020.68632	754504.77524	491910.71313	729593.78550	421718.32906	932546.70379	756427.60935	667523.89667	488044.91850	570837.26415	472807.65614	909768.33755	576868.09794	689309.80489	1004899.44155	439343.68439	472599.33141	484710.66656	706526.35915	592911.11862	531055.36601	515959.62710	747104.57385	544034.78445	557031.03086	427696.28978	467080.92870	774651.73018	451269.76352	513898.22673	802372.31439	718800.82377	645374.97106	552929.72079	495313.29872	552194.76117	700603.26940	667033.15253	556583.87222	464454.67556	503188.48529	463678.19069	768749.92765	542705.14872	659103.52574	1000606.28999	445544.69161	975601.48698	639681.36512	574024.76008	539224.81568	920329.50113	524025.84657	492356.03682	688913.52939	661055.90752	662674.80867	1070879.79248	869232.10561	641777.27834	473538.02369	1058894.74001	934468.43172	798541.45219	674974.38881	990656.84420	689730.28556	548543.45887	570926.04347
101.023702949665_42.4537218	6412363.78082	6842772.53421	5925598.51795	7676394.90366	9678196.24784	5364204.52132	8364500.96817	6573247.00922	6843599.92390	6766875.25846	6061540.12324	6723423.37965	8881815.14693	6931239.07123	2816296.68338	3542531.07683	8174504.07661	5768347.58529	7262872.09838	5732145.30412	6262236.53272	7266956.13534	7541378.29416	5527078.34324	8127707.80061	6493952.26744	5920507.17807	4747283.13616	8265334.87881	7486043.76167	6379677.14080	10349360.73772	6498820.72017	6698336.86102	5321319.86865	4101530.59023	5938090.53698	7336796.68543	8264947.97014	3904617.54259	8471764.54957	6984371.54960	6002784.35809	8801316.63231	5350764.36792	7180460.79752	5977181.24281	5195670.24206	5910166.74218	5274472.19643	5627313.69548	6180893.23267	5372216.54694	9151144.30537	5724258.69221	5979168.15268	6357480.82467	7243498.75544	6340512.38758	7884237.16303	8976962.46602	5519116.33596	6120007.14764	6424909.75104	6603600.69078	8818783.38211	7038952.49354	6958838.22432	6980450.25010	6171582.22537	4881575.68056	9045508.15136	6550828.15099	6513247.11111	7857046.01248	7180275.94241	7173663.25757	2915925.64989	4655952.22637	8984270.49864	5712910.30318	6427262.30701	6247074.53279	6335726.08974	6603945.46675	8460757.21794	5195089.90110	7128636.38837	5089537.31585	8591237.08933	5786851.33678	7110525.80466	7642187.73290	7290158.11623	5831692.46768	4922811.50234	5470300.45168	4848644.76138	4945820.37976	7295464.34552	7192543.38883	7478791.87987	7802491.99702
101.51978887775_876.55038	741750.61728	588286.77978	653152.95242	595283.92758	611449.97947	357460.44794	540379.60527	428323.37059	714147.88529	567356.38385	420050.86549	795939.17661	499711.45890	363796.44428	598074.08085	398744.52469	505872.17038	542576.30115	418929.23535	813527.55386	333541.38014	689371.07837	506829.84570	621203.06970	390131.61503	462878.54916	453382.46884	520799.00718	656506.17122	697398.92355	517354.84037	484442.48847	316212.14640	611666.51131	706266.10453	599544.89855	656976.98254	384977.31091	518411.11994	472753.46989	421863.24820	494746.96319	676076.26644	471368.69390	574331.65059	403905.61445	674810.79462	532006.01962	446803.50205	793851.63928	557698.33377	660192.39323	347486.89547	736019.74122	593905.07766	656446.41150	570321.45101	567720.39244	479666.44359	513588.27258	509920.57832	443713.60347	450702.91016	471415.81879	401943.87481	429244.26439	325238.22626	598228.95709	512212.23333	584517.10112	515098.72843	350012.91982	383206.26308	376488.95046	461175.34642	525070.67261	561218.49443	395353.66247	386103.04635	281487.36737	499635.57914	278422.94424	439619.35699	458880.85551	603523.69756	347362.18352	511067.15145	405505.57003	404117.20749	532847.39893	467427.52770	663792.75285	520607.40547	563092.42301	653427.92504	403523.51786	380376.57632	443126.10948	486922.92775	427657.63322	482334.61529	498141.54715	501218.66776
102.956092887981_43.5141018	17033186.25507	32566623.97490	14390515.75482	44568034.18264	90092830.88957	12123406.42039	22228794.12954	18866406.10266	19871790.27423	39321552.13968	12257884.92055	13208048.55817	37528546.87043	31900866.42096	11492132.48099	10419282.94766	67144774.08392	18002068.05805	32285257.39892	13483929.00399	12612268.05548	15769048.69051	52048665.47897	17172054.53270	31317785.91323	20319397.66848	12291293.42906	17756632.66088	29867304.19505	63248722.27642	16120435.57495	96736262.92184	15055273.35401	39719537.83067	12229340.05513	111428674.51984	12137579.67500	14382913.10813	26517332.10358	12910767.57377	36532596.43875	37661556.04826	13120068.78569	48503522.85077	11966596.83827	21848797.83228	13278193.46858	15288411.16316	33404676.58500	12224531.06787	13661327.89386	18473799.63271	19756398.15917	70415506.35355	10875500.31432	12711539.65594	19185041.79752	50721815.58822	12422029.05913	39590095.77945	37908760.26890	17566656.96937	16699807.77743	11759551.67294	18194226.76139	69096426.45989	36527935.65465	16547808.47004	13651724.09054	13590965.71760	14559222.17775	57019986.56187	14860048.65416	17626011.69196	32855122.27001	31419365.48866	22377321.90104	8804125.12293	11356461.12271	26056382.28111	9966925.46060	13089160.04845	14603325.75573	18164395.24174	16175475.87922	46797256.44681	20989927.86297	12590355.96165	11131890.81936	41593828.03726	13102199.44886	33989743.42317	25748035.28805	25029425.33349	12739549.16660	10744419.30558	18980093.00828	16977992.16327	16631100.36406	39994918.53423	38035596.44255	38574173.78205	39408676.86027
103.039379186673_4.5462288	2919320.23629	3286041.66389	3963819.00494	2949261.73995	4842800.74921	3634762.61773	2850989.46882	3012956.05530	2656868.74072	2277932.42510	3097683.27128	2946459.01930	2623868.75940	3236053.95469	1961988.37464	4488638.25653	3502817.78381	3055492.65717	2983628.52353	2658457.22809	2905101.35357	2791982.73706	2976677.93417	3135317.70391	3633445.48718	3511124.53918	2938683.06452	2794590.17262	3031654.82920	2367065.90470	2887441.44734	5176452.25746	4115046.18323	4015105.52331	2852370.66766	3849617.23630	3437315.89690	3694345.59117	2455812.17284	4452813.07414	3893966.80299	3271979.88629	2822542.99632	2255427.19262	2604766.38177	4086799.44659	2937476.28498	3461776.33810	12548851.16058	2781633.92426	2622119.56987	2662606.95427	3790092.00665	2809094.66235	3070670.99163	2685230.84618	3564620.12578	1843833.46929	3157546.24280	2213260.14595	3121060.50612	4288628.07083	2925130.67355	3216064.08550	3732574.25085	3546400.08274	3340792.10994	2955893.13716	2864405.42942	3152577.89673	3566910.99141	3144971.96350	3474146.39200	2613965.22474	2124742.06950	2481260.10483	3693239.63520	2364990.66475	3538499.65894	4015506.35689	2828730.86162	4842967.60350	2998159.29173	2930838.77797	2871529.53286	3741970.30645	2653424.42819	2931099.07225	3439475.54526	3129413.57952	3679039.39030	7478464.17803	3892244.60686	3580289.56937	3313059.36057	6608156.16696	4822523.81710	3707790.85558	3637101.73235	4599719.28724	2932663.79185	2571597.25008	2279481.88073
103.077133578326_897.80304	881365.51482	757571.10616	951979.76083	804185.42078	850594.00150	610204.48457	714891.35963	601715.15511	982964.52842	840612.39874	602559.68093	1166350.96164	683658.84916	592380.95725	874918.34541	529189.94632	833003.91394	682475.18951	630323.74653	998500.80279	389288.91873	862481.37058	642435.07664	727185.06853	600217.07900	694217.84695	629506.06431	853108.85199	985809.79269	962847.31482	729556.97643	550509.91826	400781.21873	791786.59253	917127.82155	839480.30056	764849.81193	539281.23610	765141.70864	601806.12109	459615.18850	654763.60329	872728.28431	723745.87492	737473.05692	642773.18353	877303.90301	678664.40021	593551.66094	1064975.32579	700691.92652	806397.10096	472079.53700	864334.37571	677549.50990	772454.15392	738669.15446	726009.25626	662775.33626	642777.73078	820697.56418	610532.33754	641804.89387	594574.43391	582777.04642	665421.81285	496123.33219	802215.42218	796810.99830	700299.31657	670454.65880	542976.16770	674064.72411	619297.42072	550516.62474	809255.75047	662290.96103	634819.29918	513488.19802	399455.27489	726963.39811	477160.05498	640355.66776	858812.79971	794248.16757	465631.81310	645898.09960	551133.87146	629510.40641	708529.26585	620955.64128	742202.08067	576709.85957	636475.83563	734701.84979	518087.35458	513634.04594	566181.89450	633361.98742	555427.82264	693976.42357	689849.14139	725801.09379
103.919557715046_18.5258088	2316352.59561	2307899.49047	2670402.58444	2162818.38025	2943237.10584	2461185.46900	2094012.49500	2180245.47843	2220863.63029	1938405.61550	2291382.68918	2152890.56081	2273353.12511	2588258.85731	2217960.16970	2614190.75030	2552458.23840	2395022.47994	2533649.05844	2207060.10705	2199027.62219	2157699.20542	2498383.87296	2256957.23645	2141773.08889	2346041.37852	2245701.41038	2162726.56142	2485593.92135	2321737.35032	2256554.19194	2912119.18401	2841639.68900	2640248.91419	2356492.59173	1462163.28297	2410449.87730	2375724.68471	2140527.89087	2853171.33742	2835041.26929	2272434.44543	2381743.37511	2615512.72920	2132862.56874	2546837.95085	2230585.94061	2362414.71697	2514493.58547	2278541.92206	2093758.33983	2276943.72563	2386492.98469	2460022.23629	2206570.93824	2364123.87479	2212055.55362	2648756.58754	2213891.20475	2489806.96110	2267725.63326	2612505.89564	2168595.93704	2237297.77620	2483610.35983	2297213.28690	2686826.03455	2271076.26306	2211136.90937	2227502.14342	2190809.26835	2544809.01217	2390280.84482	2219279.70272	2272980.97865	2188879.61275	2446034.51334	2324554.43995	2507454.77597	2862304.81052	2173459.38046	2553915.95984	2130118.76251	2197157.85114	2326842.87249	2530168.68383	1815511.42632	2397284.57670	2380299.66939	2829656.02680	2295594.31537	2804636.95719	2719415.49864	2513895.68968	2459249.29102	2563216.64147	2558773.15981	2383007.26661	2065774.96164	2594526.72814	2143351.53899	2401670.41874	2413360.92904
104.95312825719_43.320297	6364257.61547	12495988.74910	5301677.75262	17167810.21260	33611699.07793	4411207.26352	8471602.13536	7184192.52973	7789416.59826	15298607.64585	4388247.20549	4777455.84102	14169712.93630	12541362.39954	3985479.08624	3738407.25325	25020392.21413	6907125.26399	12431731.58475	4850937.30343	4362642.19335	5904420.98211	20628986.64771	6922397.70624	11888485.81934	7457640.27502	4493336.41314	6627468.97918	11120566.21901	24504470.92403	5856122.78355	37255609.86147	5561777.50643	14845861.59826	4096721.09403	43950510.83714	4265789.97860	5211889.34670	10702196.12083	4750368.13274	13812901.59583	13920311.38682	4946336.55283	18131332.53717	4357207.05556	8200474.15009	4825911.47140	5749679.82758	12336816.89711	4410107.77174	5008874.03137	6983057.21789	7534523.05397	26866797.78996	3947947.78968	4701860.03615	7620652.84548	19585315.53840	4371806.94430	15725136.58704	14498198.79414	6370396.35264	6491813.28935	4132597.45751	6861816.55636	27153791.13040	13500470.50792	6049660.84422	4768845.12488	4861254.89296	5434789.01541	21662245.26420	5631604.52339	6655498.31893	12842044.62652	11729535.35588	8263868.74365	3099953.80111	4069808.07557	10242154.51174	3620248.90143	4683430.71693	5226437.62220	7074443.46936	6066043.14479	18265133.28724	8222676.16048	4592724.54806	4003293.37536	15203169.32095	4761500.73741	13074495.54825	9986674.15284	9501267.23634	4394768.99483	3794573.34041	7299879.63696	6322270.01555	6477780.41263	15461860.40075	14830385.65074	14540850.77311	14636364.38685
104.953161290358_1186.63695	3154895.25436	3571213.64728	3691441.22404	3897262.87919	3993179.71299	3730100.73758	3454660.65469	3700764.28465	3630677.74718	3371442.10989	3903573.86761	3769282.41365	3469718.47897	3850036.48347	3178413.70695	4160067.41993	4375004.81289	3713575.86018	3876973.03478	3537927.40645	3562935.06575	3586466.70481	3829285.43507	3797185.34225	3524415.00510	3951222.23242	3741929.76413	3668874.18339	3464316.01623	3711925.89758	3850066.30117	4477052.40643	3952180.82702	4303484.73365	3659660.95462	4135617.03337	3755535.84439	4018552.04086	3181065.68288	3900734.01297	4192440.09391	3935169.00590	3870571.62702	3842794.36042	3271748.82350	4273886.67126	3649567.34605	3460144.93949	4917688.12626	3501468.52000	3498308.36427	3523740.00638	3888906.67208	3603842.93672	3727068.40870	3694350.77768	3544820.38586	3747084.71618	4129709.33884	3026013.81911	3700284.31121	4099630.17251	3152222.44130	3548225.05150	4172111.25042	3620548.85400	3715437.58050	3678497.82556	3626631.22686	3507460.60528	3376741.82392	3939620.79151	3668352.51301	3086505.21120	3450370.69780	3667229.97721	3949767.51826	3896927.06615	3901866.11942	4075335.27753	3219768.99260	3787864.09821	3677070.73691	3749414.17807	3635693.35532	4164892.83106	3324644.28498	3649390.49288	3979744.52080	3737483.23534	3807654.75752	4141529.15292	4030847.10733	3847759.73609	3534112.63545	3822451.31792	3605894.91393	3635258.13349	3669798.59643	3512139.10244	3754843.89019	3684540.94904	3602496.04212
